name,From,To,Draft,Tm,Lg,G,GS,Yrs,PB.x,AP1.x,AV.x,pfr_player_id,career_try,career_ranypa,career_wowy,Pos,hof
Tom Brady,2000,2019,6-199,NWE,NFL,285,283,20,14,3,280,BradTo00,18.06166248,0.173489731,-1.277251749,NA,NA
Peyton Manning,1998,2015,1-1,TOT,NFL,266,265,17,14,7,271,MannPe00,1.863818103,2.12504676,-0.187647287,NA,NA
Drew Brees,2001,2019,2-32,TOT,NFL,275,274,19,13,1,267,BreeDr00,76.102636,0.665594068,-0.321374707,NA,NA
Brett Favre,1991,2010,2-33,TOT,NFL,302,298,20,11,3,255,FavrBr00,1.668653559,1.286345656,4.014686543,QB,TRUE
Jerry Rice,1985,2004,1-16,TOT,NFL,303,284,20,13,10,250,RiceJe00,21438.1322,1.610443312,0.548229048,WR,TRUE
Fran Tarkenton,1961,1978,"3-29, 5-34AFL",TOT,NFL,246,239,18,9,1,236,TarkFr00,-9.376465416,-1.230477368,-1.879592175,QB,TRUE
Bruce Smith,1985,2003,1-1,TOT,NFL,279,267,19,11,8,223,SmitBr24,150.5672131,0.311928935,1.758926126,DE,TRUE
Dan Marino,1983,1999,1-27,MIA,NFL,242,240,17,9,3,216,MariDa00,-0.575232118,0.820013453,-0.174115562,QB,TRUE
Philip Rivers,2004,2019,1-4,SDG,NFL,228,224,16,8,0,204,RivePh00,-5.066602828,1.91979939,1.098947,NA,NA
John Elway,1983,1998,1-1,DEN,NFL,234,231,16,9,0,203,ElwaJo00,61.52072351,0.698060039,0.286780772,QB,TRUE
Junior Seau,1990,2009,1-5,TOT,NFL,268,243,20,12,6,187,SeauJu00,10.56391609,-1.201355161,-0.334652047,LB,TRUE
Ben Roethlisberger,2004,2019,1-11,PIT,NFL,218,216,16,6,0,186,RoetBe00,1.461555203,0.981152276,0.734715949,NA,NA
Aaron Rodgers,2005,2019,1-24,GNB,NFL,181,174,15,8,2,184,RodgAa00,2.219608806,1.436722362,-0.462724656,NA,NA
Anthony Munoz,1980,1992,1-3,CIN,NFL,185,184,13,11,9,174,MunoAn00,87.18645699,0.908741052,0.198011052,OL,TRUE
Steve Young,1985,1999,1-1,TOT,NFL,169,143,15,7,3,171,YounSt00,7.716960485,2.250902868,0.552175532,QB,TRUE
Emmitt Smith,1990,2004,1-17,TOT,NFL,226,219,15,8,4,170,SmitEm00,3970.893828,0.579640052,0.282940574,RB,TRUE
Walter Payton,1975,1987,1-4,CHI,NFL,190,184,13,9,5,168,PaytWa00,5771.559298,-0.630888854,-0.106287788,RB,TRUE
Marshall Faulk,1994,2005,1-2,TOT,NFL,176,156,12,7,3,166,FaulMa00,7028.646836,0.90712713,0.087977811,RB,TRUE
Terrell Owens,1996,2010,3-89,TOT,NFL,219,201,15,6,5,165,OwenTe00,14999.30994,0.839818119,0.113544636,WR,TRUE
Randall McDaniel,1988,2001,1-19,TOT,NFL,222,220,14,12,7,164,McDaRa00,18.5774109,-0.199908345,1.384179722,OL,TRUE
Dan Fouts,1973,1987,3-64,SDG,NFL,181,171,15,6,2,162,FoutDa00,2.792193455,1.009978265,0.408265734,QB,TRUE
Marvin Harrison,1996,2008,1-19,CLT,NFL,190,188,13,8,3,161,HarrMa00,13908.53034,1.522571915,-0.219872073,WR,TRUE
Randy Moss,1998,2012,1-21,TOT,NFL,218,193,14,6,4,161,MossRa00,14171.74661,1.214260173,1.12715034,WR,TRUE
Will Shields,1993,2006,3-74,KAN,NFL,224,223,14,12,2,157,ShieWi00,5.573054636,-0.559427946,-1.340362349,OL,TRUE
LaDainian Tomlinson,2001,2011,1-5,TOT,NFL,170,155,11,5,3,157,TomlLa00,5179.201779,0.464723643,-0.263345266,RB,TRUE
